serial,day,month,year,Date,season,time,bin_depth_min,bin_depth_max,n,depth_mean,depth_sd,depth_cv,temp_mean,temp_sd,temp_cv,cond_mean,cond_sd,cond_cv,ph_mean,ph_sd,ph_cv,turb_mean,turb_sd,turb_cv,chloro_mean,chloro_sd,chloro_cv,do_percent_mean,do_percent_sd,do_percent_cv,do_ppm_mean,do_ppm_sd,do_ppm_cv,lat,long
101,18,6,2013,6/18/2013,Spring,1535,-0.5,0.5,39,0.125,0.103,0.824,18.386,1.065,0.058,0.059,0.086,1.458,8.058,0.082,0.01,80.362,72.107,0.897,7.685,12.845,1.671,91.359,2.392,0.026,8.586,0.342,0.04,41.76375,-83.34615
101,18,6,2013,6/18/2013,Spring,1535,0.5,1.5,6,0.96,0.414,0.431,21.043,0.185,0.009,0.27,0.001,0.004,8.133,0.005,0.001,15.133,4.87,0.322,1.4,2.126,1.519,98.1,1.638,0.017,8.732,0.12,0.014,41.76375,-83.34615
101,18,6,2013,6/18/2013,Spring,1535,1.5,2.5,2,2.186,0.266,0.122,21.18,0,0,0.27,0.001,0.004,8.14,0,0,15.65,1.061,0.068,2.2,0.849,0.386,100.3,0.141,0.001,8.905,0.007,0.001,41.76375,-83.34615
101,18,6,2013,6/18/2013,Spring,1535,2.5,3.5,3,3.027,0.341,0.113,21.19,0,0,0.269,0.001,0.004,8.147,0.006,0.001,13.6,2.022,0.149,1.7,1.997,1.175,100.767,0.153,0.002,8.943,0.012,0.001,41.76375,-83.34615
101,18,6,2013,6/18/2013,Spring,1535,3.5,4.5,3,3.918,0.131,0.033,21.19,0,0,0.27,0.001,0.004,8.15,0,0,12.4,0.1,0.008,1.7,0.985,0.579,101.167,0.115,0.001,8.983,0.006,0.001,41.76375,-83.34615
101,18,6,2013,6/18/2013,Spring,1535,4.5,5.5,4,5.016,0.359,0.072,21.19,0,0,0.27,0,0,8.158,0.005,0.001,14.375,3.8,0.264,0.425,1.917,4.511,101.175,0.05,0,8.982,0.005,0.001,41.76375,-83.34615
101,18,6,2013,6/18/2013,Spring,1535,5.5,6.5,2,5.752,0.017,0.003,21.19,0,0,0.27,0,0,8.165,0.007,0.001,28.3,18.243,0.645,0.3,1.556,5.187,101.25,0.071,0.001,8.985,0.007,0.001,41.76375,-83.34615
102,18,6,2013,6/18/2013,Spring,1620,-0.5,0.5,18,0.1,0.001,0.01,19.22,0.228,0.012,0.051,0.066,1.294,8.08,0.043,0.005,154.8,0.24,0.002,6.3,0,0,90.422,0.278,0.003,8.352,0.065,0.008,41.76338,-83.24987
102,18,6,2013,6/18/2013,Spring,1620,0.5,1.5,3,0.964,0.299,0.31,19.69,0.448,0.023,0.235,0.001,0.004,8.2,0,0,155.233,0.404,0.003,6.3,0,0,89.9,0.557,0.006,8.217,0.122,0.015,41.76338,-83.24987
102,18,6,2013,6/18/2013,Spring,1620,1.5,2.5,5,2.142,0.351,0.164,20.304,0.052,0.003,0.233,0,0,8.194,0.005,0.001,155.86,0.055,0,6.3,0,0,89.16,0.089,0.001,8.054,0.017,0.002,41.76338,-83.24987
102,18,6,2013,6/18/2013,Spring,1620,2.5,3.5,3,3.029,0.291,0.096,20.35,0.01,0,0.233,0,0,8.2,0,0,155.9,0,0,6.3,0,0,89.1,0,0,8.04,0,0,41.76338,-83.24987
102,18,6,2013,6/18/2013,Spring,1620,3.5,4.5,3,3.934,0.222,0.056,20.337,0.006,0,0.233,0,0,8.21,0,0,155.9,0,0,6.3,0,0,89.1,0,0,8.043,0.006,0.001,41.76338,-83.24987
102,18,6,2013,6/18/2013,Spring,1620,4.5,5.5,4,4.924,0.375,0.076,20.308,0.022,0.001,0.233,0,0,8.22,0,0,155.85,0.058,0,6.3,0,0,89.15,0.058,0.001,8.053,0.005,0.001,41.76338,-83.24987
102,18,6,2013,6/18/2013,Spring,1620,5.5,6.5,4,6.005,0.369,0.061,20.233,0.017,0.001,0.232,0.001,0.004,8.23,0,0,155.8,0,0,6.3,0,0,89.225,0.05,0.001,8.072,0.005,0.001,41.76338,-83.24987
102,18,6,2013,6/18/2013,Spring,1620,6.5,7.5,3,7.048,0.29,0.041,20.183,0.015,0.001,0.233,0,0,8.23,0,0,155.7,0,0,6.3,0,0,89.3,0,0,8.087,0.006,0.001,41.76338,-83.24987
102,18,6,2013,6/18/2013,Spring,1620,7.5,8.5,3,7.792,0.175,0.022,20.127,0.015,0.001,0.233,0.001,0.004,8.23,0,0,155.7,0,0,6.3,0,0,89.367,0.058,0.001,8.1,0,0,41.76338,-83.24987
103,18,6,2013,6/18/2013,Spring,1435,-0.5,0.5,23,0.169,0.13,0.769,18.753,1.232,0.066,0.14,0.121,0.864,8.139,0.042,0.005,54.057,113.701,2.103,10.383,25.268,2.434,91.326,3.482,0.038,8.51,0.17,0.02,41.8634,-83.24993
